codist,Countname,distname,year,four_day,perstuchar,leaid,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfrl,pernonfrl,perell,perspeced,member,stutch_all,sample,ever4day
01C001,ADAIR,SKELLY,2010,0,0,4014820,0,0,0,1,.79545456,0,0,0,.20454545,.63749999,.36250001,.16249999,.2,80,8.5100002,1,0
01C001,ADAIR,SKELLY,2012,0,0,4014820,0,0,0,1,.7631579,0,.052631579,0,.18421052,.578125,.421875,.1875,.28125,64,9.69697,1,0
01C001,ADAIR,SKELLY,2013,0,0,4014820,0,0,0,1,.71428573,0,0,0,.2857143,.73584908,.26415092,.28301886,.28301886,53,9.636364,1,0
01C001,ADAIR,SKELLY,2009,0,0,4014820,0,0,0,1,.77777779,0,.022222223,0,.2,.59302324,.40697676,0,0,86,8.8999996,1,0
01C001,ADAIR,SKELLY,2011,0,0,4014820,0,0,1,0,.83333331,0,0,0,.16666667,.64516127,.35483873,0,.24193548,62,7.9487176,1,0
01C019,ADAIR,PEAVINE,2013,0,0,4010560,0,0,0,1,.57005793,0,.086186931,0,.34375519,.72972971,.27027029,.1891892,.29054055,148,12.333333,1,0
01C019,ADAIR,PEAVINE,2012,0,0,4010560,0,0,0,1,.52844596,0,.11416572,0,.35738832,.70481926,.29518074,.11445783,.26506025,166,13.719007,1,0
01C019,ADAIR,PEAVINE,2010,0,.52631581,4010560,0,0,0,1,.59130436,0,.086956523,0,.32173914,.7263158,.2736842,.15263158,.32105264,190,16.52,1,0
01C019,ADAIR,PEAVINE,2011,0,0,4010560,0,0,0,1,.57051283,0,.051282052,0,.37820512,.64804471,.35195529,0,.29050279,179,15.840708,1,0
01C019,ADAIR,PEAVINE,2009,0,0,4010560,0,0,0,1,.6036036,0,.054054055,0,.34234235,.67816091,.32183909,0,0,174,15.1,1,0
01C019,ADAIR,PEAVINE,2014,0,0,4010560,0,0,0,1,.55583131,0,.072787426,0,.37138128,.82191783,.17808217,0,.25342464,146,11.40625,1,0
01C019,ADAIR,PEAVINE,2015,0,0,4010560,0,0,0,1,.59874314,0,.16270661,0,.23855028,.78947371,.21052629,.16541353,.23308271,133,11.377246,1,0
01C019,ADAIR,PEAVINE,2016,0,.79365081,4010560,0,0,0,1,.59874314,0,.16270661,0,.23855028,.78947371,.21052629,.16541353,.23308271,133,11.377246,1,0
01C022,ADAIR,MARYETTA,2014,0,0,4019200,0,0,0,1,.82467246,0,.050188765,.00027759271,.1248612,.65690374,.34309626,.35704324,.18967922,717,13.841699,1,0
01C022,ADAIR,MARYETTA,2012,0,.14326647,4019200,0,0,0,1,.84343755,0,.03373906,.00042830888,.12239511,.65616047,.34383953,.38252148,.20773639,698,14.10101,1,0
01C022,ADAIR,MARYETTA,2016,0,0,4019200,0,0,0,1,.82702702,0,.054054055,0,.11891892,.65747458,.34252542,.31494921,.19593614,689,13.835341,1,0
01C022,ADAIR,MARYETTA,2011,0,.14880952,4019200,0,0,0,1,.83861673,0,.048991356,0,.11239193,.65625,.34375,.33035713,.19642857,672,13.85567,1,0
01C022,ADAIR,MARYETTA,2013,0,0,4019200,0,0,0,1,.83783782,0,.037837837,.0027027028,.12162162,.65689152,.34310848,.37829912,.22434017,682,13.090212,1,0
01C022,ADAIR,MARYETTA,2015,0,.14513788,4019200,0,0,0,1,.82702702,0,.054054055,0,.11891892,.65747458,.34252542,.31494921,.19593614,689,13.835341,1,0
01C022,ADAIR,MARYETTA,2009,0,.15898252,4019200,0,0,0,1,.89123869,0,.027190333,0,.081570998,.54213035,.45786965,0,0,629,14.3,1,0
01C022,ADAIR,MARYETTA,2010,0,.1529052,4019200,0,0,1,0,.89820361,0,.011976048,0,.089820363,.65749234,.34250766,.32110092,.16360857,654,13.86,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2014,0,0,4026250,0,0,1,0,.88199413,0,.016634742,0,.10137112,.72727275,.27272725,.49197862,.18181819,187,14.384615,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2009,0,0,4026250,0,0,1,0,.8490566,.0094339624,0,0,.14150943,.81666666,.18333334,0,0,180,14.3,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2015,0,0,4026250,0,0,1,0,.90825689,0,.027522936,0,.064220183,.76243097,.23756903,.50276244,.23756906,181,13.338246,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2016,0,0,4026250,0,0,1,0,.90825689,0,.027522936,0,.064220183,.76243097,.23756903,.50276244,.23756906,181,13.338246,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2010,0,.55248618,4026250,0,0,1,0,.84313726,.0098039219,0,0,.14705883,.68508285,.31491715,.50828731,.19337016,181,13.51,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2012,0,0,4026250,0,0,1,0,.875,0,.017857144,0,.10714286,.76216215,.23783785,.44864866,.12432432,185,14.682539,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2011,0,0,4026250,0,0,0,1,.85470086,0,0,0,.14529915,.66190475,.33809525,.40476191,.14285715,210,15.328467,1,0
01C024,ADAIR,ROCKY MOUNTAIN,2013,0,0,4026250,0,0,1,0,.89094514,0,.027539106,0,.081515744,.73333335,.26666665,.42777777,.15000001,180,13.533834,1,0
01C028,ADAIR,ZION,2013,0,.60606062,4033600,0,0,0,1,.8186813,0,0,0,.18131869,.61212122,.38787878,.22727273,.18181819,330,13.253013,1,0
01C028,ADAIR,ZION,2012,0,0,4033600,0,0,0,1,.81914896,0,0,0,.18085106,.61309522,.38690478,.27083334,.15178572,336,13.548388,1,0
01C028,ADAIR,ZION,2015,0,0,4033600,0,0,0,1,.81675392,0,0,0,.18324608,.61318052,.38681948,.16905445,.18624642,349,12.945105,1,0
01C028,ADAIR,ZION,2016,0,0,4033600,0,0,0,1,.81675392,0,0,0,.18324608,.61318052,.38681948,.16905445,.18624642,349,12.945105,1,0
01C028,ADAIR,ZION,2009,0,.29069766,4033600,0,0,0,1,.76165801,0,0,0,.23834197,.53779072,.46220928,0,0,344,13.6,1,0
01C028,ADAIR,ZION,2011,0,0,4033600,0,0,0,1,.80219781,0,0,0,.1978022,.61470586,.38529414,.24411765,.17058824,340,12.734082,1,0
01C028,ADAIR,ZION,2014,0,0,4033600,0,0,0,1,.85653728,0,0,0,.1434627,.61198735,.38801265,.18296529,.17034701,317,12.529645,1,0
01C028,ADAIR,ZION,2010,0,.29411766,4033600,0,0,0,1,.79347825,0,0,0,.20652173,.61470586,.38529414,.23823529,.15294118,340,12.83,1,0
01C029,ADAIR,DAHLONEGAH,2015,0,0,4009360,0,0,0,1,.87869918,0,.081951216,.018211382,.021138217,.76377952,.23622048,.22047244,.35433072,127,9.7692308,1,0
01C029,ADAIR,DAHLONEGAH,2013,0,.68965518,4009360,0,0,0,1,.84328359,0,.12222671,0,.034489721,.76551723,.23448277,0,.24827586,145,11.6,1,0
01C029,ADAIR,DAHLONEGAH,2009,0,0,4009360,0,0,0,1,.97183096,0,.014084507,0,.014084507,.77037036,.22962964,0,0,135,9.6000004,1,0
01C029,ADAIR,DAHLONEGAH,2011,0,1.4705882,4009360,0,0,0,1,.97297299,0,0,0,.027027028,.77205884,.22794116,0,.25,136,10.074074,1,0
01C029,ADAIR,DAHLONEGAH,2014,0,0,4009360,0,0,0,1,.80576921,0,.13311966,.020512821,.040598296,.77037036,.22962964,.17037037,.32592592,135,9.8540144,1,0
01C029,ADAIR,DAHLONEGAH,2016,0,.74626863,4009360,0,0,0,1,.87869918,0,.081951216,.018211382,.021138217,.76377952,.23622048,.22047244,.35433072,127,9.7692308,1,0
01C029,ADAIR,DAHLONEGAH,2012,0,2.2371364,4009360,0,0,0,1,.94408876,0,.025181392,0,.030729828,.76865673,.23134327,.47014925,.25373134,134,10,1,0
01C029,ADAIR,DAHLONEGAH,2010,0,.75757575,4009360,0,0,0,1,.98550725,0,.014492754,0,0,.7651515,.2348485,.56060606,.33333334,132,9.1700001,1,0
01C032,ADAIR,GREASY,2015,0,0,4021870,0,0,0,1,.8888889,0,0,0,.11111111,.83505154,.16494846,.34020618,.30927834,97,11.149426,1,0
01C032,ADAIR,GREASY,2014,0,0,4021870,0,0,0,1,.85714287,0,0,0,.14285715,.872549,.127451,.34313726,.29411766,102,13.246754,1,0
01C032,ADAIR,GREASY,2013,0,0,4021870,0,0,0,1,.95833331,0,0,0,.041666668,.84090906,.15909094,.22727273,.38636363,44,7.0967746,1,0
01C032,ADAIR,GREASY,2009,0,0,4021870,0,0,0,1,.94827586,0,0,0,.05172414,.58415842,.41584158,0,0,101,11.3,1,0
01C032,ADAIR,GREASY,2011,0,0,4021870,0,0,0,1,.96078432,0,.019607844,0,.019607844,.77333331,.22666669,0,.44,75,7.7319589,1,0
01C032,ADAIR,GREASY,2016,0,0,4021870,0,0,0,1,.8888889,0,0,0,.11111111,.83505154,.16494846,.34020618,.30927834,97,11.149426,1,0
01C032,ADAIR,GREASY,2012,0,1.4492754,4021870,0,0,0,1,.92307693,0,0,0,.07692308,.76811594,.23188406,.13043478,.49275362,69,7.0408163,1,0
01C032,ADAIR,GREASY,2010,0,0,4021870,0,0,0,1,.95238096,0,0,.023809524,.023809524,.77611941,.22388059,.10447761,.38805971,67,5.9299998,1,0
01C033,ADAIR,BELL,2009,,0,4003870,0,0,0,1,.94230771,0,0,0,.057692308,.95876288,.041237116,0,0,97,12.1,0,
01C033,ADAIR,BELL,2010,,0,4003870,0,0,0,1,.95555556,0,0,0,.044444446,.96521676,.034783218,0,.21649484,97,10.66,0,
01I004,ADAIR,WATTS,2010,0,.76745969,4031860,0,0,0,1,.54248369,0,.071895428,0,.38562092,.63984674,.36015326,.061381076,.18414322,261,15.35,1,1
01I004,ADAIR,WATTS,2014,0,.80000001,4031860,0,0,0,1,.36190477,.01904762,.13809524,0,.48095235,.64122134,.35877866,.013333334,.18666667,262,17.350992,1,1
01I004,ADAIR,WATTS,2009,0,1.2019231,4031860,0,0,0,1,.46625766,0,.042944785,0,.49079755,.63928574,.36071426,0,0,280,20.1,1,1
01I004,ADAIR,WATTS,2016,1,.32051283,4031860,0,0,0,1,.3631579,.021052632,.14210527,0,.47368419,.63865548,.36134452,.02052786,.19354838,238,17.359592,1,1
01I004,ADAIR,WATTS,2013,0,.26525199,4031860,0,0,0,1,.39901477,.024630541,.12807882,0,.44827586,.63909775,.36090225,.037135277,.18302387,266,15.555555,1,1
01I004,ADAIR,WATTS,2012,0,1.3089005,4031860,0,0,0,1,.44607842,.024509804,.11764706,0,.41176471,.64092666,.35907334,.04450262,.19109948,259,15.602409,1,1
01I004,ADAIR,WATTS,2015,0,.29325512,4031860,0,0,0,1,.3631579,.021052632,.14210527,0,.47368419,.63865548,.36134452,.02052786,.19354838,238,17.359592,1,1
01I004,ADAIR,WATTS,2011,0,.75018758,4031860,0,0,0,1,.44776121,0,.12437811,0,.42786068,.64122134,.35877866,.047499999,.17,262,16.903225,1,1
01I011,ADAIR,WESTVILLE,2016,0,.51759833,4032400,0,0,0,1,.53113306,.018202454,.078280397,.0022578917,.37012616,.67538953,.32461047,.036585364,.12979095,818,14.183857,1,0
01I011,ADAIR,WESTVILLE,2015,0,.52273917,4032400,0,0,0,1,.53113306,.018202454,.078280397,.0022578917,.37012616,.67538953,.32461047,.036585364,.12979095,818,14.183857,1,0
01I011,ADAIR,WESTVILLE,2009,0,.44642857,4032400,0,0,0,1,.44936708,.016877636,.03164557,.0021097045,.5,.60650373,.39349627,0,0,885,17.040716,1,0
01I011,ADAIR,WESTVILLE,2013,0,.34423408,4032400,0,0,0,1,.50842011,.016424673,.088977017,0,.38617823,.70352411,.29647586,.038726334,.11531842,800,14.791081,1,0
01I011,ADAIR,WESTVILLE,2010,0,.26198584,4032400,0,0,0,1,.46913579,.022633744,.037037037,.0020576131,.46913579,.6814273,.31857267,.11965065,.13362445,907,15.612592,1,0
01I011,ADAIR,WESTVILLE,2014,0,.43066323,4032400,0,0,0,1,.51522726,.01727053,.079580821,.0023426574,.38557872,.68114781,.31885222,.026701119,.1205857,827,15.334974,1,0
01I011,ADAIR,WESTVILLE,2012,0,.33636057,4032400,0,0,0,1,.50671625,.018211013,.089893639,0,.38517913,.67012113,.32987887,.020185029,.12615643,832,15.127448,1,0
01I011,ADAIR,WESTVILLE,2011,0,.16849199,4032400,0,0,0,1,.51635587,.017439412,.064314246,0,.40189049,.67143148,.32856852,.096882895,.126369,835,15.037025,1,0
01I025,ADAIR,STILWELL,2009,0,.85543197,4028710,0,0,0,1,.5990566,.0023584906,.13207547,.0047169812,.26179245,.56753045,.43246955,0,0,760,13.4,1,0
01I025,ADAIR,STILWELL,2010,0,.43421623,4028710,0,0,0,1,.57665902,.0022883294,.13729978,0,.28375286,.63014644,.36985353,.11577424,.19392185,790,13.845378,1,0
01I025,ADAIR,STILWELL,2014,0,.42607585,4028710,0,0,1,0,.60562795,.0048720594,.15281633,.0028192897,.23386438,.7449404,.2550596,.09375,.22230114,752,13.080474,1,0
01I025,ADAIR,STILWELL,2011,0,.44189128,4028710,0,0,0,1,.55427748,0,.15438533,.0023364485,.28900072,.68358535,.31641465,.14801179,.20471281,739,13.138875,1,0
01I025,ADAIR,STILWELL,2016,0,.60240966,4028710,0,0,1,0,.61392295,.01011246,.15857328,.0071202242,.21027106,.7189163,.2810837,.096394405,.21707137,691,12.470442,1,0
01I025,ADAIR,STILWELL,2015,0,1.1778563,4028710,0,0,1,0,.61392295,.01011246,.15857328,.0071202242,.21027106,.7189163,.2810837,.096394405,.21707137,691,12.470442,1,0
01I025,ADAIR,STILWELL,2012,0,1.0649627,4028710,0,0,1,0,.48310086,.0013832184,.27828959,.0010374138,.23618892,.74091846,.25908154,.16818874,.23059361,725,13.1327,1,0
01I025,ADAIR,STILWELL,2013,0,.42735043,4028710,0,0,1,0,.60529226,.01095856,.13731806,.004027511,.24240364,.74169809,.25830194,.11752137,.21225071,730,13.563619,1,0
01I030,ADAIR,CAVE SPRINGS,2009,0,1.6313213,4006930,0,0,0,1,.91111112,0,0,0,.088888891,.74683547,.25316453,0,0,79,9,1,0
01I030,ADAIR,CAVE SPRINGS,2010,0,1.0526316,4006930,0,0,0,1,.87755102,0,0,0,.12244898,.65853661,.34146339,.59473681,.2631579,82,9.6499996,1,0
01I030,ADAIR,CAVE SPRINGS,2014,0,0,4006930,0,0,0,1,.84482759,0,.034482758,0,.12068965,.87209302,.12790698,.28415301,.31693989,86,16.538462,1,0
01I030,ADAIR,CAVE SPRINGS,2015,0,1.6207455,4006930,0,0,0,1,.87719297,0,.03508772,0,.087719299,.90476191,.09523809,.21621622,.34054053,84,16.799999,1,0
01I030,ADAIR,CAVE SPRINGS,2016,0,2.1834061,4006930,0,0,0,1,.87719297,0,.03508772,0,.087719299,.90476191,.09523809,.21621622,.34054053,84,16.799999,1,0
01I030,ADAIR,CAVE SPRINGS,2013,0,3.0864198,4006930,0,0,0,1,.9245283,0,.018867925,0,.056603774,.92682928,.073170722,.21604939,.26543209,82,14.642858,1,0
01I030,ADAIR,CAVE SPRINGS,2011,0,1.2345679,4006930,0,0,0,1,.94871795,0,0,0,.051282052,.74285716,.25714284,.54320985,.21604939,70,11.111111,1,0
01I030,ADAIR,CAVE SPRINGS,2012,0,3.3898306,4006930,0,0,0,1,.80645162,0,.032258064,0,.16129032,.74468082,.25531918,.36440679,.22033899,47,8.7037039,1,0
02I001,ALFALFA,BURLINGTON,2012,0,0,4005910,0,0,0,1,.11538462,0,0,.01923077,.86538464,.34615386,.65384614,0,.16774194,104,10.196078,1,0
02I001,ALFALFA,BURLINGTON,2014,0,0,4005910,0,0,0,1,.034142394,0,.13656957,0,.82928807,.37719297,.62280703,.013333334,.16666667,114,11.067961,1,0
02I001,ALFALFA,BURLINGTON,2009,0,0,4005910,0,0,0,1,.016129032,0,.032258064,.016129032,.93548387,.39423078,.60576922,0,0,104,10,1,0
02I001,ALFALFA,BURLINGTON,2011,0,0,4005910,0,0,0,1,.023859764,0,.062652163,.00373316,.90975487,.44036698,.55963302,0,.1552795,109,11.847826,1,0
02I001,ALFALFA,BURLINGTON,2016,0,0,4005910,0,0,0,1,.025506007,.004278427,.18282047,0,.78739506,.23214285,.76785713,.020270269,.1891892,112,10.769231,1,0
02I001,ALFALFA,BURLINGTON,2010,0,.65359479,4005910,0,0,0,1,.046875,0,.015625,.015625,.921875,.35922331,.64077669,0,.14379086,103,10,1,0
02I001,ALFALFA,BURLINGTON,2015,0,0,4005910,0,0,0,1,.025506007,.004278427,.18282047,0,.78739506,.23214285,.76785713,.020270269,.1891892,112,10.769231,1,0
02I001,ALFALFA,BURLINGTON,2013,0,0,4005910,0,0,0,1,.020707071,0,.082323231,.020707071,.87626261,.33944955,.66055048,0,.21794872,109,10.380953,1,0
02I046,ALFALFA,CHEROKEE,2014,0,.27173913,4007410,0,0,0,1,.055124223,0,.057938665,.0079580741,.87897903,.37447712,.62552291,.013586956,.17934783,262,13.172574,1,0
02I046,ALFALFA,CHEROKEE,2012,0,2.6041667,4007410,0,0,0,1,.075757578,0,.053030305,.030303031,.84090906,.43362832,.56637168,0,.20521173,226,14.580646,1,0
02I046,ALFALFA,CHEROKEE,2009,0,.70921987,4007410,0,0,0,1,.054054055,0,.018018018,0,.92792791,.34554973,.6544503,0,0,191,13.2,1,0
02I046,ALFALFA,CHEROKEE,2010,0,0,4007410,0,0,0,1,.067961164,0,.029126214,0,.90291262,.41988951,.58011049,0,.1532567,181,14.72,1,0
02I046,ALFALFA,CHEROKEE,2011,0,.72202164,4007410,0,0,0,1,.079646021,0,.03539823,0,.88495576,.50769234,.49230766,0,.18411553,195,15.11628,1,0
02I046,ALFALFA,CHEROKEE,2015,0,.54200542,4007410,0,0,0,1,.031141737,0,.084933609,.018543558,.86538112,.37799403,.622006,.010840109,.18428184,271,12.989994,1,0
02I046,ALFALFA,CHEROKEE,2016,0,.23696682,4007410,0,0,0,1,.031141737,0,.084933609,.018543558,.86538112,.37799403,.622006,.010840109,.18428184,271,12.989994,1,0
02I046,ALFALFA,CHEROKEE,2013,0,.88731146,4007410,0,0,0,1,.11306784,0,.06369897,0,.82323319,.40432519,.59567481,0,.18343195,251,12.851438,1,0
02I093,ALFALFA,TIMBERLAKE,2012,0,.81632656,4000013,0,0,0,1,.048644338,.019936204,.019936204,.019936204,.89154702,.43406594,.56593406,0,.2122449,182,12.551724,1,0
02I093,ALFALFA,TIMBERLAKE,2016,0,1.0869565,4000013,0,0,0,1,.054133568,.017358048,.032166325,.010199078,.88614303,.40196079,.59803921,0,.19217081,204,10.210211,1,0
02I093,ALFALFA,TIMBERLAKE,2011,0,1.6528926,4000013,0,0,0,1,.033898305,.016949153,.016949153,.016949153,.91525424,.54494381,.45505619,0,.22314049,178,12.714286,1,0
02I093,ALFALFA,TIMBERLAKE,2009,0,.78431374,4000013,0,0,0,1,.042735044,0,.008547009,.008547009,.94017094,.53403139,.46596861,0,0,191,13.6,1,0
02I093,ALFALFA,TIMBERLAKE,2013,0,0,4000013,0,0,0,1,.06857045,.020975832,.03636571,.018182855,.85590518,.47191012,.52808988,0,.19678715,178,11.410256,1,0
